Demographic,Year,Period,Month,Unemployment_rate,date
African American,2010,M01,Jan,16.5,1/1/2010
African American,2010,M02,Feb,16.1,2/1/2010
African American,2010,M03,Mar,16.8,3/1/2010
African American,2010,M04,Apr,16.6,4/1/2010
African American,2010,M05,May,15.5,5/1/2010
African American,2010,M06,Jun,15.2,6/1/2010
African American,2010,M07,Jul,15.6,7/1/2010
African American,2010,M08,Aug,15.9,8/1/2010
African American,2010,M09,Sep,16,9/1/2010
African American,2010,M10,Oct,15.6,10/1/2010
African American,2010,M11,Nov,16.2,11/1/2010
African American,2010,M12,Dec,15.5,12/1/2010
African American,2011,M01,Jan,15.8,1/1/2011
African American,2011,M02,Feb,15.5,2/1/2011
African American,2011,M03,Mar,15.8,3/1/2011
African American,2011,M04,Apr,16.5,4/1/2011
African American,2011,M05,May,16.3,5/1/2011
African American,2011,M06,Jun,16.2,6/1/2011
African American,2011,M07,Jul,15.9,7/1/2011
African American,2011,M08,Aug,16.4,8/1/2011
African American,2011,M09,Sep,15.9,9/1/2011
African American,2011,M10,Oct,14.6,10/1/2011
African American,2011,M11,Nov,15.6,11/1/2011
African American,2011,M12,Dec,15.4,12/1/2011
African American,2012,M01,Jan,13.6,1/1/2012
African American,2012,M02,Feb,14,2/1/2012
African American,2012,M03,Mar,14,3/1/2012
African American,2012,M04,Apr,13.3,4/1/2012
African American,2012,M05,May,13.5,5/1/2012
African American,2012,M06,Jun,14.5,6/1/2012
African American,2012,M07,Jul,14.2,7/1/2012
African American,2012,M08,Aug,13.8,8/1/2012
African American,2012,M09,Sep,13.6,9/1/2012
African American,2012,M10,Oct,14.1,10/1/2012
African American,2012,M11,Nov,13.3,11/1/2012
African American,2012,M12,Dec,14,12/1/2012
African American,2013,M01,Jan,13.7,1/1/2013
African American,2013,M02,Feb,13.8,2/1/2013
African American,2013,M03,Mar,13,3/1/2013
African American,2013,M04,Apr,13.3,4/1/2013
African American,2013,M05,May,13.4,5/1/2013
African American,2013,M06,Jun,14.2,6/1/2013
African American,2013,M07,Jul,12.6,7/1/2013
African American,2013,M08,Aug,12.8,8/1/2013
African American,2013,M09,Sep,13,9/1/2013
